2026-04-13 08:39:33 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 09:21:56 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 09:27:10 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 09:31:13 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 09:37:19 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 09:41:23 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 09:46:17 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 09:47:19 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Access Control - Multi-Factor Authentication (MFA): All priv...
2026-04-13 09:50:59 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 09:51:07 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Access Control - Multi-Factor Authentication (MFA): All priv...
2026-04-13 09:51:11 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Access Control - Multi-Factor Authentication (MFA): All priv...
2026-04-13 09:51:20 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Access Control - Multi-Factor Authentication (MFA): All priv...
2026-04-13 09:51:26 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Access Control - Multi-Factor Authentication (MFA): All priv...
2026-04-13 09:52:09 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Mobile device policy...
2026-04-13 09:57:18 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 09:57:23 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Access Control - Multi-Factor Authentication (MFA): All priv...
2026-04-13 10:22:53 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 10:23:16 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Access Control - Multi-Factor Authentication (MFA): All priv...
2026-04-13 10:23:21 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 10:23:26 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Access Control - Multi-Factor Authentication (MFA): All priv...
2026-04-13 12:56:12 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 12:56:18 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Access Control - Multi-Factor Authentication (MFA): All priv...
2026-04-13 12:57:23 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 12:57:23 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Access Control - Multi-Factor Authentication (MFA): All priv...
2026-04-13 12:59:00 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 12:59:00 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Access Control - Multi-Factor Authentication (MFA): All priv...
2026-04-13 13:00:35 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 13:00:35 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Access Control - Multi-Factor Authentication (MFA): All priv...
